PRICE,LAPTOP_CONDITION,LAPTOP_BRAND,LAPTOP_MODEL,DEDICATED_GPU,GPU_GENERAL,GPU_INTEGRATED,CPU,RAM_SIZE,RAM_TYPE,SSD_SIZE,HDD_SIZE,STORAGE_SIZE,STORAGE_TYPE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,CITY,POST_YEAR,POST_MONTH,RAM_GB,SSD_GB,HDD_GB,SCREEN_FREQUENCY_NUM,SCREEN_RESOLUTION_CLEAN,RES_WIDTH,RES_HEIGHT,TOTAL_PIXELS,PPI,TOTAL_STORAGE_GB,RAM_STORAGE_RATIO,IS_GAMING,CPU_TIER,BRAND_TIER,STORAGE_SCORE
64500.0,Used - Good,HP,ELITEBOOK,,Standard Graphics,Integrated,INTEL CORE I7 7500U,8.0GB,DDR4,256GB,,Not Specified,SSD,15.6,60.0Hz,1920x1080,BAB EZZOUAR,2025,7,8.0,256.0,0.0,60.0,1920x1080,1920,1080,2073600,141.21199808219862,256.0,2048.0,0,High-End,Mainstream,256.0
110000.0,Used - Fair,APPLE,MACBOOK,APPLE 8-CORE GPU,Standard Graphics,Integrated,APPLE M1,16.0GB,DDR5,256GB,,Not Specified,SSD,13.0,60.0Hz,2560x1440,DELLYS,2025,1,16.0,256.0,0.0,60.0,2560x1440,2560,1440,3686400,225.93919693151776,256.0,4096.0,0,Mid-Range,Premium,256.0
35000.0,Good Condition,APPLE,MACBOOK AIR,,Standard Graphics,Integrated,INTEL CORE I5,8.0GB,DDR4,128GB,,Not Specified,SSD,13.3,60.0Hz,2560x1600,Not Specified,2025,7,8.0,128.0,0.0,60.0,,2560,1600,4096000,226.98300468106115,128.0,1024.0,0,Mid-Range,Premium,128.0
260000.0,Bon état,DELL,INSPIRON,NVIDIA RTX A4000 8GB,Integrée + Dédiée,Graphiques UHD Intel®,Intel® Core™ i9-11950H,128.0GB,DDR5,1024GB,,1TBGO,SSD,15.0,60.0Hz,1920x1080,BAB EZZOUAR,2025,8,128.0,1024.0,0.0,60.0,,1920,1080,2073600,146.86047800548656,1024.0,131072.0,1,Enthusiast,Mainstream,1024.0
49000.0,Good Condition,HP,PAVILION,,Standard Graphics,Integrated,INTEL CORE I3 7020U,8.0GB,DDR4,256GB,,Not Specified,SSD,15.6,60.0Hz,1920x1080,Not Specified,2024,12,8.0,256.0,0.0,60.0,,1920,1080,2073600,141.21199808219862,256.0,2048.0,0,Entry-Level,Mainstream,256.0
120000.0,Etat neuf,Apple Mac book,Not Specified,,Intégrée,Intel UHD graphics 617 1536 Mo,"1,6 GHz I 5 double coeur",8.0GB,DDR4,128GB,,128GO,SSD,13.0,60.0Hz,1920x1080,EL BAYADH,2024,10,8.0,128.0,0.0,60.0,,1920,1080,2073600,169.45439769863833,128.0,1024.0,0,Other,Niche,128.0
699000.0,Never Used (New),APPLE,MACBOOK PRO,,Standard Graphics,Integrated,APPLE M4 PRO,64.0GB,DDR5,1000GB,,Not Specified,SSD,16.2,60.0Hz,3024x1964,Not Specified,2025,8,64.0,1000.0,0.0,60.0,,3024,1964,5939136,222.5809176426486,1000.0,64000.0,0,Other,Premium,1000.0
93000.0,Bon état,Dell,LATITUDE,,Intégrée,Intel UHD Graphics,Intel® Core™ i7 10850H 6 Cœurs 12M Cache Boost 5.1 GHz,16.0GB,DDR4,,512GB,512GO,HDD,15.6,60.0Hz,1920x1080,BAB EZZOUAR,2021,9,16.0,0.0,512.0,60.0,,1920,1080,2073600,141.21199808219862,512.0,0.0,0,High-End,Mainstream,102.4
44000.0,Used - Good,HP,ELITEBOOK,AMD RADEON HD 7570,Standard Graphics,Integrated,INTEL CORE I5 3340M,16.0GB,DDR5,512GB,,Not Specified,SSD,14.0,60.0Hz,1920x1080,HUSSEIN DEY,2023,3,16.0,512.0,0.0,60.0,,1920,1080,2073600,157.3505121487356,512.0,8192.0,0,Mid-Range,Mainstream,512.0
20000.0,Etat moyen,Acer,ASPIRE,,Standard Graphics,Integrated,Intel Pentium B960 @ 2.20GHz,4.0GB,DDR4,128GB,,Not Specified,SSD,15.0,60.0Hz,1920x1080,KOLEA,2024,10,4.0,128.0,0.0,60.0,,1920,1080,2073600,146.86047800548656,128.0,512.0,0,Entry-Level,Budget,128.0
195000.0,Never Used (New),LENOVO,THINKBOOK,,Standard Graphics,Integrated,INTEL CORE ULTRA 7 155H,16.0GB,DDR5,512GB,,Not Specified,SSD,14.0,60.0Hz,1920x1080,Not Specified,2025,7,16.0,512.0,0.0,60.0,,1920,1080,2073600,157.3505121487356,512.0,8192.0,0,Other,Mainstream,512.0
120000.0,New,DELL,INSPIRON,,Standard Graphics,Integrated,INTEL CORE I5,8.0GB,DDR4,500GB,,Not Specified,SSD,14.0,60.0Hz,1920x1080,ANNABA,2025,6,8.0,500.0,0.0,60.0,,1920,1080,2073600,157.3505121487356,500.0,4000.0,0,Mid-Range,Mainstream,500.0
170000.0,New,HP,VICTUS,NVIDIA GEFORCE RTX 3050,Standard Graphics,Integrated,12TH GEN INTEL CORE I5 12450H,16.0GB,DDR5,512GB,,Not Specified,SSD,14.0,60.0Hz,1920x1080,BAB EZZOUAR,2025,6,16.0,512.0,0.0,60.0,,1920,1080,2073600,157.3505121487356,512.0,8192.0,1,Mid-Range,Mainstream,512.0
162000.0,New,HP,PAVILION,,Standard Graphics,Integrated,13TH GEN INTEL CORE I7 1355U,8.0GB,DDR4,512GB,,Not Specified,SSD,15.6,60.0Hz,2560x1440,ZERALDA,2025,5,8.0,512.0,0.0,60.0,,2560,1440,3686400,188.28266410959816,512.0,4096.0,0,High-End,Mainstream,512.0
79000.0,Used - Poor,HP,ZBOOK,NVIDIA QUADRO M1200,Standard Graphics,Integrated,7TH GEN INTEL CORE I7 7850HQ,16.0GB,DDR5,256GB,,Not Specified,SSD,14.0,60.0Hz,1920x1080,Not Specified,2025,6,16.0,256.0,0.0,60.0,,1920,1080,2073600,157.3505121487356,256.0,4096.0,0,High-End,Mainstream,256.0
32000.0,Used - Poor,APPLE,MACBOOK AIR,,Standard Graphics,Integrated,INTEL CORE I5,4.0GB,DDR4,120GB,,Not Specified,SSD,13.0,60.0Hz,2560x1600,Not Specified,2025,6,4.0,120.0,0.0,60.0,,2560,1600,4096000,232.22107401985488,120.0,480.0,0,Mid-Range,Premium,120.0
